subject_id,has_pre,has_post,pre_file,post_file,pre_sha256,post_sha256,pre_duration,post_duration,pre_sampling_rate,post_sampling_rate,channel_count_pre,channel_count_post,flags,exclusion_reason_if_any
sub-001,yes,yes,SHA256E-s23546896--19c49f4e7cf9e1859d0d833900e9d086d052397e28c0f0d37b844708f8fbc148.edf,SHA256E-s23936896--ca3ddee5fe97b02deef4827f82eff40309f79e90dd67a01a7e5cff9ffb38c0d0.edf,19c49f4e7cf9e1859d0d833900e9d086d052397e28c0f0d37b844708f8fbc148,ca3ddee5fe97b02deef4827f82eff40309f79e90dd67a01a7e5cff9ffb38c0d0,181.0,184.0,1000.0,1000.0,65,65,MULTIPLE_PRE(4); MULTIPLE_POST(4),
sub-030,yes,yes,SHA256E-s24196896--fd350c7d9be1355fdc84bef1253467e3b306797341fa4a9af6aeba2bbf241e37.edf,SHA256E-s24456896--b1b00aadeb4a7e971ac886272b840418414bfd630f6d02d0708115cb96350ff7.edf,fd350c7d9be1355fdc84bef1253467e3b306797341fa4a9af6aeba2bbf241e37,b1b00aadeb4a7e971ac886272b840418414bfd630f6d02d0708115cb96350ff7,186.0,188.0,1000.0,1000.0,65,65,MULTIPLE_PRE(2); MULTIPLE_POST(2),
sub-047,yes,yes,SHA256E-s23806896--29c402e1399aaef33d3a31e6bf106a4ec5305c3be92f9482e083829999c3155c.edf,SHA256E-s23806896--89e30dfcd4c4870dbbb0aae1f506de4710438313456176c7381f7279c157c7cf.edf,29c402e1399aaef33d3a31e6bf106a4ec5305c3be92f9482e083829999c3155c,89e30dfcd4c4870dbbb0aae1f506de4710438313456176c7381f7279c157c7cf,183.0,183.0,1000.0,1000.0,65,65,MULTIPLE_PRE(4); MULTIPLE_POST(4),
sub-110,yes,yes,SHA256E-s23806896--5d5a075ee00511403fcaa0e679d2fefd12bfa663ff83235301bc254147a0d5bd.edf,SHA256E-s23806896--3bfe1457563f0114cf07e2887f913eb65135398dad2a78a95dc4be5b4e805535.edf,5d5a075ee00511403fcaa0e679d2fefd12bfa663ff83235301bc254147a0d5bd,3bfe1457563f0114cf07e2887f913eb65135398dad2a78a95dc4be5b4e805535,183.0,183.0,1000.0,1000.0,65,65,MULTIPLE_PRE(4); MULTIPLE_POST(4),
sub-124,yes,yes,SHA256E-s23806896--fa752533824f8b5522e81084d89489211920dfe0ef6b14b7afe0f76e6df08c53.edf,SHA256E-s23806896--6b1efdcffef012ae264db16597bf65620cbd21fe1c8b7b4268de3151b1b264ba.edf,fa752533824f8b5522e81084d89489211920dfe0ef6b14b7afe0f76e6df08c53,6b1efdcffef012ae264db16597bf65620cbd21fe1c8b7b4268de3151b1b264ba,183.0,183.0,1000.0,1000.0,65,65,MULTIPLE_PRE(4); MULTIPLE_POST(4),
sub-147,yes,yes,SHA256E-s23676896--33e2886b664c33e5d4009326d7d886fae17cc9865bc6746d55e9fb40b2c3a542.edf,SHA256E-s23676896--f9c5406924aac08a2d053d01642f4dee9c650fae2e09a7157e1455c0475c4a76.edf,33e2886b664c33e5d4009326d7d886fae17cc9865bc6746d55e9fb40b2c3a542,f9c5406924aac08a2d053d01642f4dee9c650fae2e09a7157e1455c0475c4a76,182.0,182.0,1000.0,1000.0,65,65,MULTIPLE_PRE(4); MULTIPLE_POST(4),
sub-154,yes,yes,SHA256E-s24326896--bdb4f27c27d0f9a5ba39427470f278d52f0ba4df55b43e1cec33396df70046fc.edf,SHA256E-s24586896--a91b43b2bed06ab9b89150231f16df3f3e4a3b45e4f8fafc46a475f1a8c22c2c.edf,bdb4f27c27d0f9a5ba39427470f278d52f0ba4df55b43e1cec33396df70046fc,a91b43b2bed06ab9b89150231f16df3f3e4a3b45e4f8fafc46a475f1a8c22c2c,187.0,189.0,1000.0,1000.0,65,65,MULTIPLE_PRE(2); MULTIPLE_POST(2),
sub-172,yes,yes,SHA256E-s24066896--67158e287239e35edc555496338c909b4c333d29b5fad28859a778f596b6e7e8.edf,SHA256E-s23676896--c9377d85ab4743c686fa66a7f03e55611f76a698d23b612ff386b1eb2b231dc5.edf,67158e287239e35edc555496338c909b4c333d29b5fad28859a778f596b6e7e8,c9377d85ab4743c686fa66a7f03e55611f76a698d23b612ff386b1eb2b231dc5,185.0,182.0,1000.0,1000.0,65,65,MULTIPLE_PRE(4); MULTIPLE_POST(4),
sub-197,yes,yes,SHA256E-s24586896--e87d8a51a1794a7cf3160adf0cc8d03f4f46f9dbc6eca3b059b513023e0428a2.edf,SHA256E-s23806896--1b687397fe85d1f5cd2820648cb9802029e4d0e89483c1f8230a71add694c031.edf,e87d8a51a1794a7cf3160adf0cc8d03f4f46f9dbc6eca3b059b513023e0428a2,1b687397fe85d1f5cd2820648cb9802029e4d0e89483c1f8230a71add694c031,189.0,183.0,1000.0,1000.0,65,65,MULTIPLE_PRE(2); MULTIPLE_POST(2),
sub-198,yes,yes,SHA256E-s23806896--9b9a5e771dbec50df0082fffe44c1c59a899a67f88ec01fac4f9931c1f06e798.edf,SHA256E-s24066896--48586304e50566575968e09b2ec3a7a7bdb98ceb730049ba327f952c8f2b2d94.edf,9b9a5e771dbec50df0082fffe44c1c59a899a67f88ec01fac4f9931c1f06e798,48586304e50566575968e09b2ec3a7a7bdb98ceb730049ba327f952c8f2b2d94,183.0,185.0,1000.0,1000.0,65,65,MULTIPLE_PRE(4); MULTIPLE_POST(4),
sub-207,yes,yes,SHA256E-s24456896--343fcdeb029e48e20f1f53aa095bf1502d3cc03df7d6913ce7ac7a4dd0b824b0.edf,SHA256E-s23676896--3056a7a6948e7f4c823e88e885492bdc9580eb1cc70729c9b5cf771b8674ae5e.edf,343fcdeb029e48e20f1f53aa095bf1502d3cc03df7d6913ce7ac7a4dd0b824b0,3056a7a6948e7f4c823e88e885492bdc9580eb1cc70729c9b5cf771b8674ae5e,188.0,182.0,1000.0,1000.0,65,65,MULTIPLE_PRE(2); MULTIPLE_POST(2),
